"home","away","margin","week","site","FBS","home_conf","away_conf","home_AP","away_AP"
"BC","CONN",-15,8,1,1,"ACC","ind",NA,NA
"HOU","ARIZ",3,8,1,1,"BIG12","BIG12",NA,NA
"TCU","BAY",6,8,1,1,"BIG12","BIG12",NA,NA
"TULN","ARMY",7,8,1,1,"AMERICAN","AMERICAN",NA,NA
"BGSU","CMU",-21,8,1,1,"MAC","MAC",NA,NA
"M-OH","EMU",14,8,1,1,"MAC","MAC",NA,NA
"UCF","WVU",32,8,1,1,"BIG12","BIG12",NA,NA
"TOL","KENT",35,8,1,1,"MAC","MAC",NA,NA
"MASS","BUFF",-7,8,1,1,"ind","MAC",NA,NA
"NU","PUR",19,8,1,1,"BIG10","BIG10",NA,NA
"ULM","TROY",-23,8,1,1,"SUNBELT","SUNBELT",NA,NA
"CLEM","SMU",-11,8,1,1,"ACC","ACC",NA,NA
"AFA","WYO",3,8,1,1,"MTNWEST","MTNWEST",NA,NA
"BOIS","UNLV",25,8,1,1,"MTNWEST","MTNWEST",NA,NA
"APP","CCU",-8,8,1,0,NA,"SUNBELT",NA,NA
"JMU","ODU",36,8,1,1,"SUNBELT","SUNBELT",NA,NA
"MRSH","TXST",3,8,1,1,"SUNBELT","SUNBELT",NA,NA
"CLT","TEM",-35,8,1,1,"AMERICAN","AMERICAN",NA,NA
"BALL","AKR",14,8,1,1,"MAC","MAC",NA,NA
"OHIO","NIU",27,8,1,1,"MAC","MAC",NA,NA
"UNT","UTSA",38,8,1,1,"AMERICAN","AMERICAN",NA,NA
"FLA","MSST",2,8,1,1,"SEC","SEC",NA,NA
"UL","USM",-12,8,1,1,"SUNBELT","SUNBELT",NA,NA
"IOWA","PSU",1,8,1,1,"BIG10","BIG10",NA,NA
"UCLA","MD",3,8,1,1,"BIG10","BIG10",NA,NA
"CSU","HAW",-12,8,1,1,"MTNWEST","MTNWEST",NA,NA
"GASO","GAST",17,8,1,1,"SUNBELT","SUNBELT",NA,NA
"SYR","PITT",-17,8,1,1,"ACC","ACC",NA,NA
"UNM","NEV",2,8,1,1,"MTNWEST","MTNWEST",NA,NA
"ORST","LAF",32,8,1,0,"PAC12",NA,NA,NA
"STAN","FSU",7,8,1,1,"ACC","ACC",NA,NA
"FIU","KENN",-19,9,1,1,"cUSA","cUSA",NA,NA
"LT","WKU",-1,9,1,1,"cUSA","cUSA",NA,NA
"DEL","MTSU",3,9,1,1,"cUSA","cUSA",NA,NA
"NMSU","MOST",-7,9,1,1,"cUSA","cUSA",NA,NA
"GAST","USA",-7,9,1,1,"SUNBELT","SUNBELT",NA,NA
"CLT","UNT",-34,9,1,1,"AMERICAN","AMERICAN",NA,NA
"VT","CAL",8,9,1,1,"ACC","ACC",NA,NA
"NEV","BOIS",-21,9,1,1,"MTNWEST","MTNWEST",NA,NA
"IU","UCLA",50,9,1,1,"BIG10","BIG10",2,NA
"LSU","TA&M",-24,9,1,1,"SEC","SEC",20,3
"SC","ALA",-7,9,1,1,"SEC","SEC",NA,4
"ORE","WIS",14,9,1,1,"BIG10","BIG10",6,NA
"GT","SYR",25,9,1,1,"ACC","ACC",7,NA
"OU","MISS",-8,9,1,1,"SEC","SEC",13,8
"MIA","STAN",35,9,1,1,"ACC","ACC",9,NA
"VAN","MIZ",7,9,1,1,"SEC","SEC",10,15
"ISU","BYU",-14,9,1,1,"BIG12","BIG12",NA,11
"TTU","OKST",42,9,1,1,"BIG12","BIG12",14,NA
"UNC","UVA",-1,9,1,1,"ACC","ACC",NA,16
"UK","TENN",-22,9,1,1,"SEC","SEC",NA,17
"MEM","USF",3,9,1,1,"AMERICAN","AMERICAN",NA,18
"LOU","BC",14,9,1,1,"ACC","ACC",19,NA
"CIN","BAY",21,9,1,1,"BIG12","BIG12",21,NA
"MSST","TEX",-7,9,1,1,"SEC","SEC",NA,22
"WASH","ILL",17,9,1,1,"BIG10","BIG10",NA,23
"ASU","HOU",-8,9,1,1,"BIG12","BIG12",24,NA
"MSU","MICH",-11,9,1,1,"BIG10","BIG10",NA,25
"NEB","NU",7,9,1,1,"BIG10","BIG10",NA,NA
"PUR","RUTG",-3,9,1,1,"BIG10","BIG10",NA,NA
"WAKE","SMU",1,9,1,1,"ACC","ACC",NA,NA
"KU","KSU",-25,9,1,1,"BIG12","BIG12",NA,NA
"ODU","APP",3,9,1,0,"SUNBELT",NA,NA,NA
"KENT","BGSU",3,9,1,1,"MAC","MAC",NA,NA
"EMU","OHIO",-7,9,1,1,"MAC","MAC",NA,NA
"ARK","AUB",-9,9,1,1,"SEC","SEC",NA,NA
"BUFF","AKR",-8,9,1,1,"MAC","MAC",NA,NA
"RICE","CONN",3,9,1,1,"AMERICAN","ind",NA,NA
"UNM","USU",19,9,1,1,"MTNWEST","MTNWEST",NA,NA
"IOWA","MINN",38,9,1,1,"BIG10","BIG10",NA,NA
"WSU","TOL",21,9,1,1,"PAC12","MAC",NA,NA
"PITT","NCSU",19,9,1,1,"ACC","ACC",NA,NA
"FRES","SDSU",-23,9,1,1,"MTNWEST","MTNWEST",NA,NA
"USM","ULM",28,9,1,1,"SUNBELT","SUNBELT",NA,NA
"NAVY","FAU",10,9,1,1,"AMERICAN","AMERICAN",NA,NA
"TLSA","TEM",-1,9,1,1,"AMERICAN","AMERICAN",NA,NA
"NIU","BALL",14,9,1,1,"MAC","MAC",NA,NA
"CMU","MASS",25,9,1,1,"MAC","ind",NA,NA
"M-OH","WMU",9,9,1,1,"MAC","MAC",NA,NA
"WVU","TCU",-6,9,1,1,"BIG12","BIG12",NA,NA
"ARST","GASO",10,9,1,1,"SUNBELT","SUNBELT",NA,NA
"TROY","UL",12,9,1,1,"SUNBELT","SUNBELT",NA,NA
"WYO","CSU",28,9,1,1,"MTNWEST","MTNWEST",NA,NA
"UTAH","COLO",46,9,1,1,"BIG12","BIG12",NA,NA
"KENN","UTEP",13,10,1,1,"cUSA","cUSA",NA,NA
"TXST","JMU",-32,10,1,1,"SUNBELT","SUNBELT",NA,NA
"MTSU","JVST",-3,10,1,1,"cUSA","cUSA",NA,NA
"MOST","FIU",7,10,1,1,"cUSA","cUSA",NA,NA
"CCU","MRSH",17,10,1,1,"SUNBELT","SUNBELT",NA,NA
"UTSA","TULN",22,10,1,1,"AMERICAN","AMERICAN",NA,NA
"RICE","MEM",-24,10,1,1,"AMERICAN","AMERICAN",NA,25
"SYR","UNC",-17,10,1,1,"ACC","ACC",NA,NA
"LT","SHSU",41,10,1,1,"cUSA","cUSA",NA,NA
"OSU","PSU",24,10,1,1,"BIG10","BIG10",1,NA
"MD","IU",-45,10,1,1,"BIG10","BIG10",NA,2
"FLA","UGA",-4,10,1,1,"SEC","SEC",NA,5
"MISS","SC",16,10,1,1,"SEC","SEC",7,NA
"NCSU","GT",12,10,1,1,"ACC","ACC",NA,8
"TEX","VAN",3,10,1,1,"SEC","SEC",20,9
"SMU","MIA",6,10,1,1,"ACC","ACC",NA,11
"BC","ND",-15,10,1,1,"ACC","ind",NA,12
"KSU","TTU",-23,10,1,1,"BIG12","BIG12",NA,13
"TENN","OU",-6,10,1,1,"SEC","SEC",14,18
"CAL","UVA",-10,10,1,1,"ACC","ACC",NA,15
"VT","LOU",-12,10,1,1,"ACC","ACC",NA,16
"UTAH","CIN",31,10,1,1,"BIG12","BIG12",24,17
"MICH","PUR",5,10,1,1,"BIG10","BIG10",21,NA
"HOU","WVU",-10,10,1,1,"BIG12","BIG12",22,NA
"NEB","USC",-4,10,1,1,"BIG10","BIG10",NA,23
"ILL","RUTG",22,10,1,1,"BIG10","BIG10",NA,NA
"CLEM","DUKE",-1,10,1,1,"ACC","ACC",NA,NA
"BAY","UCF",27,10,1,1,"BIG12","BIG12",NA,NA
"CONN","UAB",19,10,1,1,"ind","AMERICAN",NA,NA
"AFA","ARMY",-3,10,1,1,"MTNWEST","AMERICAN",NA,NA
"UNT","NAVY",14,10,1,1,"AMERICAN","AMERICAN",NA,NA
"BGSU","BUFF",-25,10,1,1,"MAC","MAC",NA,NA
"ISU","ASU",-5,10,1,1,"BIG12","BIG12",NA,NA
"TEM","ECU",-31,10,1,1,"AMERICAN","AMERICAN",NA,NA
"UNLV","UNM",-5,10,1,1,"MTNWEST","MTNWEST",NA,NA
"MINN","MSU",3,10,1,1,"BIG10","BIG10",NA,NA
"STAN","PITT",-15,10,1,1,"ACC","ACC",NA,NA
"LIB","DEL",29,10,1,1,"cUSA","cUSA",NA,NA
"WKU","NMSU",19,10,1,1,"cUSA","cUSA",NA,NA
"BOIS","FRES",-23,10,1,1,"MTNWEST","MTNWEST",NA,NA
"ULM","ODU",-25,10,1,1,"SUNBELT","SUNBELT",NA,NA
"USA","UL",-9,10,1,1,"SUNBELT","SUNBELT",NA,NA
"ARK","MSST",-3,10,1,1,"SEC","SEC",NA,NA
"KU","OKST",17,10,1,1,"BIG12","BIG12",NA,NA
"WMU","CMU",3,10,1,1,"MAC","MAC",NA,NA
"COLO","ARIZ",-35,10,1,1,"BIG12","BIG12",NA,NA
"SDSU","WYO",17,10,1,1,"MTNWEST","MTNWEST",NA,NA
"AUB","UK",-7,10,1,1,"SEC","SEC",NA,NA
"ORST","WSU",3,10,1,1,"PAC12","PAC12",NA,NA
"FSU","WAKE",35,10,1,1,"ACC","ACC",NA,NA
"TROY","ARST",-13,10,1,1,"SUNBELT","SUNBELT",NA,NA
"SJSU","HAW",7,10,1,1,"MTNWEST","MTNWEST",NA,NA
"AKR","MASS",34,11,1,1,"MAC","ind",NA,NA
"OHIO","M-OH",4,11,1,1,"MAC","MAC",NA,NA
"BALL","KENT",4,11,1,1,"MAC","MAC",NA,NA
"TOL","NIU",39,11,1,1,"MAC","MAC",NA,NA
"APP","GASO",-2,11,1,0,NA,"SUNBELT",NA,NA
"USF","UTSA",32,11,1,1,"AMERICAN","AMERICAN",NA,NA
"USC","NU",21,11,1,1,"BIG10","BIG10",19,NA
"UCF","HOU",-3,11,1,1,"BIG12","BIG12",NA,NA
"MEM","TULN",-6,11,1,1,"AMERICAN","AMERICAN",NA,NA
"PUR","OSU",-24,11,1,1,"BIG10","BIG10",NA,1
"PSU","IU",-3,11,1,1,"BIG10","BIG10",NA,2
"MIZ","TA&M",-21,11,1,1,"SEC","SEC",22,3
"ALA","LSU",11,11,1,1,"SEC","SEC",4,NA
"MSST","UGA",-20,11,1,1,"SEC","SEC",NA,5
"MISS","CIT",49,11,1,0,"SEC",NA,6,NA
"TTU","BYU",22,11,1,1,"BIG12","BIG12",8,7
"IOWA","ORE",-2,11,1,1,"BIG10","BIG10",20,9
"ND","NAVY",39,11,1,1,"ind","AMERICAN",10,NA
"UVA","WAKE",-7,11,1,1,"ACC","ACC",14,NA
"LOU","CAL",-3,11,1,1,"ACC","ACC",15,NA
"VAN","AUB",7,11,1,1,"SEC","SEC",16,NA
"MIA","SYR",28,11,1,1,"ACC","ACC",18,NA
"WIS","WASH",3,11,1,1,"BIG10","BIG10",NA,23
"BC","SMU",-32,11,1,1,"ACC","ACC",NA,NA
"WVU","COLO",7,11,1,1,"BIG12","BIG12",NA,NA
"MRSH","JMU",-12,11,1,1,"SUNBELT","SUNBELT",NA,NA
"ARST","USM",-6,11,1,1,"SUNBELT","SUNBELT",NA,NA
"ARMY","TEM",1,11,1,1,"AMERICAN","AMERICAN",NA,NA
"LIB","MOST",-4,11,1,1,"cUSA","cUSA",NA,NA
"EMU","BGSU",6,11,1,1,"MAC","MAC",NA,NA
"RICE","UAB",7,11,1,1,"AMERICAN","AMERICAN",NA,NA
"RUTG","MD",15,11,1,1,"BIG10","BIG10",NA,NA
"DEL","LT",1,11,1,1,"cUSA","cUSA",NA,NA
"MTSU","FIU",-26,11,1,1,"cUSA","cUSA",NA,NA
"UTEP","JVST",-3,11,1,1,"cUSA","cUSA",NA,NA
"ECU","CLT",26,11,1,1,"AMERICAN","AMERICAN",NA,NA
"FAU","TLSA",19,11,1,1,"AMERICAN","AMERICAN",NA,NA
"CONN","DUKE",3,11,1,1,"ind","ACC",NA,NA
"ARIZ","KU",4,11,1,1,"BIG12","BIG12",NA,NA
"TCU","ISU",-3,11,1,1,"BIG12","BIG12",NA,NA
"NMSU","KENN",-3,11,1,1,"cUSA","cUSA",NA,NA
"CCU","GAST",13,11,1,1,"SUNBELT","SUNBELT",NA,NA
"UNC","STAN",5,11,1,1,"ACC","ACC",NA,NA
"UL","TXST",3,11,1,1,"SUNBELT","SUNBELT",NA,NA
"SJSU","AFA",-10,11,1,1,"MTNWEST","MTNWEST",NA,NA
"CLEM","FSU",14,11,1,1,"ACC","ACC",NA,NA
"UK","FLA",31,11,1,1,"SEC","SEC",NA,NA
"USU","NEV",37,11,1,1,"MTNWEST","MTNWEST",NA,NA
